t_phys, y_phys, u, v, w, mean_u, mean_v, mean_w, std_u, std_v, std_w
0.09898004191868608, 0.00153, 0.030036113507692648, 1.2143064331837674e-16, 0.0, 0.030036113507692648, 1.2143064331837674e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.00306, 0.06491100340398785, 3.5388358909926934e-16, 0.0, 0.06491100340398785, 3.5388358909926934e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.0045899999999999995, 0.05338112228635244, 1.0408340855860859e-16, 0.0, 0.05338112228635244, 1.0408340855860859e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.00612, 0.062140699216962296, -4.996003610813215e-16, 0.0, 0.062140699216962296, -4.996003610813215e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.00765, 0.0530650307420619, -6.175615574477441e-16, 0.0, 0.0530650307420619, -6.175615574477441e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.009179999999999999, 0.06210355888850389, -3.1225022567582567e-16, 0.0, 0.06210355888850389, -3.1225022567582567e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.010709999999999999, 0.05467319116403376, -5.134781488891359e-16, 0.0, 0.05467319116403376, -5.134781488891359e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.01224, 0.0583927455502969, -5.342948306008574e-16, 0.0, 0.0583927455502969, -5.342948306008574e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.01377, 0.05991627788703995, -3.5388358909926934e-16, 0.0, 0.05991627788703995, -3.5388358909926934e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.0153, 0.0539077478721728, -4.2327252813834157e-16, 0.0, 0.0539077478721728, -4.2327252813834157e-16, 0.0, 0.0, 0.0, 0.0
0.09898004191868608, 0.016829999999999998, 0.06024725297072965, -6.453171330633737e-16, 0.0, 0.06024725297072965, -6.453171330633737e-16, 0.0, 0.0, 0.0, 0.0
