t_phys, Cd, Cl
0.10180609746710403, 3.9487432704769514, 0.07464608848189756
0.20361219493420807, -2.257451816870787, 0.20416683389832557
0.3054182924013121, 0.41274203064826176, 0.039067384376326814
0.40722438986841614, 0.8550964839263788, -0.011580180031487012
0.5090304873355201, 0.5084047524281988, 0.10749499239805575
0.6108365848026241, 3.3811844912304587, 0.2056445315167212
0.7126426822697283, 7.672308685946435, 0.21603824161017518
0.8144487797368323, -2.7961537824031466, 0.14591375190543363
0.9162548772039363, 2.730264556928349, 0.1188951819646319
1.0180609746710403, 1.2235868881446865, 0.14652932224672352
1.1198670721381443, 1.243826871324852, 0.17737140497287507
1.2216731696052483, 1.3959011478609564, 0.18450423727012005
1.3234792670723525, 1.3611587141672432, 0.1792912860795617
1.4252853645394565, 0.4448389521842059, 0.18388629419128755
1.5270914620065605, 1.487203779907769, 0.19306762858478543
1.6288975594736645, 1.8433544192760472, 0.20621046849574917
1.7307036569407686, 1.4083725660088573, 0.21671542572731214
1.8325097544078726, 1.5573343388071197, 0.23755677481942947
1.9343158518749766, 0.05767445885242446, 0.22219144836701138
2.0361219493420806, 2.2280012064131944, 0.23579362293955347
2.1379280468091846, 1.7125508716371258, 0.2540290153916101
2.2397341442762886, 1.341642024161808, 0.2641570613514918
2.3415402417433926, 1.2867641540318115, 0.2765426084119612
2.4433463392104966, 1.5003241328636625, 0.282823663391349
2.5451524366776006, 1.8236879771374905, 0.294219991712058
2.646958534144705, 0.6719509421629449, 0.3066071165731794
2.748764631611809, 2.8127725009041304, 0.3106298253361292
2.850570729078913, 0.22175088744439783, 0.3292776632613829
2.952376826546017, 1.4619177527341316, 0.33419532968901294
3.054182924013121, 1.4349262692340017, 0.34570909474045697
3.155989021480225, 1.2115557928127587, 0.3594727808939283
3.257795118947329, 2.1747244057385395, 0.3736293280663638
3.359601216414433, 0.7376618127432173, 0.38572403465526356
3.461407313881537, 0.7427641648225871, 0.3943773086589753
3.563213411348641, 1.9972605996069737, 0.40052462516071596
3.665019508815745, 1.1352197345607022, 0.4175598759033732
3.766825606282849, 1.1258498704984778, 0.43166424091094385
3.868631703749953, 1.0358614648003652, 0.43539775305829437
3.970437801217057, 1.93487172215012, 0.44705271121246853
4.072243898684161, 1.0870234831112107, 0.4507292596726254
4.174049996151266, 1.3333660996910042, 0.46230195052907364
4.275856093618369, 1.3120977829456097, 0.468876400039488
4.377662191085474, 1.348364632117624, 0.46657090351284247
