t_phys, Cd, Cl
0.10180609746710403, 53.111892523462394, -0.01620828734263229
0.20361219493420807, 42.29256177194949, -0.06904284682246857
0.3054182924013121, 39.506448974270974, -0.35016870431298874
0.40722438986841614, 37.398134908004494, -0.449986942703902
0.5090304873355201, 34.97846423632652, -0.38998150873449666
0.6108365848026241, 35.96818763397311, -0.34758471205037983
0.7126426822697283, 38.295122670197486, -0.39099225764981516
0.8144487797368323, 27.6999630313787, -0.4828707385504607
0.9162548772039363, 31.158092492255932, -0.5218417179865186
1.0180609746710403, 29.50585048819937, -0.5175086209031768
1.1198670721381443, 28.431215396246134, -0.5027828288292109
1.2216731696052483, 27.409902906144406, -0.5173887428516819
1.3234792670723525, 27.00934226786283, -0.5422747924103715
1.4252853645394565, 25.642429313270863, -0.538369729175436
1.5270914620065605, 25.654130359534463, -0.5364555229224297
1.6288975594736645, 25.894121009766693, -0.513027466061611
1.7307036569407686, 25.067425522441894, -0.4724753240114049
1.8325097544078726, 24.82710978139351, -0.41351060316103894
1.9343158518749766, 22.9324201722685, -0.3702691769075017
2.0361219493420806, 23.88073167804207, -0.2606674334915359
2.1379280468091846, 23.631349361458486, -0.16095024105205924
2.2397341442762886, 23.19844189969481, -0.03438739802265271
2.3415402417433926, 22.865375271049103, 0.08811419871921863
2.4433463392104966, 22.859036839026444, 0.22380256519966332
2.5451524366776006, 23.0646425592627, 0.37194759624295876
2.646958534144705, 21.504494121038885, 0.49752255611555257
2.748764631611809, 23.975047686608534, 0.6302156861498823
2.850570729078913, 20.897695397491717, 0.756106793712697
2.952376826546017, 21.604231070031563, 0.8852035403830683
3.054182924013121, 21.60249961223152, 1.0180539252589427
3.155989021480225, 21.220694282341654, 1.156145254532938
3.257795118947329, 22.327610051667598, 1.30117719633819
3.359601216414433, 20.268825939130107, 1.450287134685331
3.461407313881537, 19.752384987018704, 1.604757165616121
3.563213411348641, 21.140506780100832, 1.7627357976540943
3.665019508815745, 20.340877575829168, 1.9321360812975783
3.766825606282849, 19.97486160578165, 2.1073532275496136
3.868631703749953, 19.544834525413197, 2.2765070680204014
