t_phys, y_phys, u, v, w, mean_u, mean_v, mean_w, std_u, std_v, std_w
0.10040874246776105, 0.01, 0.02337656408245396, -2.4286128663675312e-17, 0.0, 0.02337656408245396, -2.4286128663675312e-17, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.02, 0.02604775026380452, -2.185751579730778e-16, 0.0, 0.02604775026380452, -2.185751579730778e-16, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.03, 0.033086697626551, -6.93889390390723e-17, 0.0, 0.033086697626551, -6.93889390390723e-17, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.04, 0.0288536606174778, 1.0408340855860843e-17, 0.0, 0.0288536606174778, 1.0408340855860843e-17, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.05, 0.027013120476678417, -1.0408340855860843e-17, 0.0, 0.027013120476678417, -1.0408340855860843e-17, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.06, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.07, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.08, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.09, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.1, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.11, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.12, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.13, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.14, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.15, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.16, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.17, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.18, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
0.10040874246776105, 0.19, 0.028867513459481277, 0.0, 0.0, 0.028867513459481277, 0.0, 0.0, 0.0, 0.0, 0.0
